"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)","exp","trait"
"Treatment10",11.1615822483191,11.1615822483191,1,66.0197568610443,249.115162896861,4.28527340333618e-24,"2021","l10_DryReproG"
"Population10",0.00917634487856645,0.00917634487856645,1,21.7048417312894,0.204806684067226,0.655359645413506,"2021","l10_DryReproG"
"Treatment:Population10",0.00739406434222679,0.00739406434222679,1,66.0197568611716,0.165027995323968,0.68588272829594,"2021","l10_DryReproG"
"Treatment11",4.644539805072,4.644539805072,1,61.6675668260215,108.164507870014,3.41656232921611e-15,"2021","l10_Repro_to_Ros"
"Population11",0.237202950817405,0.237202950817405,1,18.173448591975,5.52410820388737,0.030241421040325,"2021","l10_Repro_to_Ros"
"Treatment:Population11",0.0516181626329249,0.0516181626329249,1,61.6675668242192,1.20211116551258,0.277163357378614,"2021","l10_Repro_to_Ros"
"Treatment12",6176915.50476191,6176915.50476191,1,71.8884395395169,167.344987617316,1.89880287046033e-20,"2021","FruitNum"
"Population12",50157.9282045854,50157.9282045854,1,17.0410236513442,1.35887853214694,0.259789236977739,"2021","FruitNum"
"Treatment:Population12",5310.17142857144,5310.17142857144,1,71.8884395401171,0.143863158120756,0.705588389813272,"2021","FruitNum"
"Treatment13",1.22971472645391e-05,1.22971472645391e-05,1,57.3785740588921,0.855060494323049,0.35899737804567,"2021","Average Seed Wt"
"Population13",0.000113763566042562,0.000113763566042562,1,12.1506018460269,7.91034936182427,0.0155123685738402,"2021","Average Seed Wt"
"Treatment:Population13",2.96936098797254e-06,2.96936098797254e-06,1,57.3785740621256,0.206469290769654,0.651263262434335,"2021","Average Seed Wt"
"Treatment14",0.161903100687788,0.161903100687788,1,68.9999999992702,37.4387808140091,5.04126402372176e-08,"2021","l10_Average Seeds per Fruit"
"Population14",0.108313529535674,0.108313529535674,1,68.9999999992702,25.0466264960402,4.0991334929984e-06,"2021","l10_Average Seeds per Fruit"
"Treatment:Population14",0.07389524086918,0.07389524086918,1,68.9999999992702,17.0876759885817,9.88399473319067e-05,"2021","l10_Average Seeds per Fruit"
"Treatment15",21828870577.1873,21828870577.1873,1,69.3600259987644,150.637001976226,4.72008691891829e-19,"2021","Total Fitness"
"Population15",11545764.9439647,11545764.9439647,1,16.5068331927068,0.0796751902729522,0.78124664232876,"2021","Total Fitness"
"Treatment:Population15",366508256.456898,366508256.456898,1,69.3600260013687,2.52920574873438,0.116304482817742,"2021","Total Fitness"
