"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)","exp","trait"
"Treatment",27.9019880550056,27.9019880550056,1,61.0449748721755,2.26117027487009,0.137810093677771,"2021","Emergence To Flowering"
"Population",1578.55019073198,1578.55019073198,1,15.0701067545847,127.925320648732,9.19632396949213e-09,"2021","Emergence To Flowering"
"Treatment:Population",0.290181421456029,0.290181421456029,1,61.0449748683566,0.0235162312886953,0.878628050786436,"2021","Emergence To Flowering"
"Treatment1",4.31707396906922,4.31707396906922,1,62.2296751868477,336.924995073366,8.4065107829084e-27,"2021","l10_FreshWt"
"Population1",0.00942254319858311,0.00942254319858311,1,16.4384240995235,0.735380107801505,0.403474634143772,"2021","l10_FreshWt"
"Treatment:Population1",0.117104133740812,0.117104133740812,1,62.2296751891297,9.13936382984896,0.00363039695071288,"2021","l10_FreshWt"
"Treatment2",3.8888251455021,3.8888251455021,1,62.4118705103132,302.877472664706,1.2456060056726e-25,"2021","l10_SatWt"
"Population2",0.0108036292172169,0.0108036292172169,1,16.5152299856571,0.841430455339936,0.372189935123745,"2021","l10_SatWt"
"Treatment:Population2",0.0980205878274521,0.0980205878274521,1,62.4118705113621,7.63424088239751,0.00751602662102233,"2021","l10_SatWt"
"Treatment3",1.71044200224705,1.71044200224705,1,62.4007183951887,129.557611378069,7.21886066795998e-17,"2021","l10_DriedWt"
"Population3",0.0301214847424808,0.0301214847424808,1,16.3037897094535,2.28155506545675,0.150058078531637,"2021","l10_DriedWt"
"Treatment:Population3",0.020818485239423,0.020818485239423,1,62.4007183969203,1.57689837865642,0.213889716310139,"2021","l10_DriedWt"
"Treatment4",3.38660097229947,3.38660097229947,1,60.5989284706036,342.253247104749,1.30709878922921e-26,"2021","l10_area"
"Population4",0.00410017120532461,0.00410017120532461,1,15.1736846291067,0.414367361311809,0.529371158476071,"2021","l10_area"
"Treatment:Population4",0.166895517341114,0.166895517341114,1,60.5989284696372,16.8666262144367,0.000122053982015036,"2021","l10_area"
"Treatment5",0.315095476250567,0.315095476250567,1,59.0998367345672,74.5370968143372,4.62266758483195e-12,"2021","l10_SLA"
"Population5",0.15562648154493,0.15562648154493,1,10.6980491460557,36.814067468759,9.11082350866443e-05,"2021","l10_SLA"
"Treatment:Population5",0.0698739033608958,0.0698739033608958,1,59.0998367362623,16.5289516738892,0.000143601942952774,"2021","l10_SLA"
"Treatment6",0.44360415252258,0.44360415252258,1,63.8442427267796,258.376892942671,3.99697695640599e-24,"2021","l10_LDMC"
"Population6",0.00575023855072831,0.00575023855072831,1,15.8050268809628,3.34922196279649,0.0861611065917941,"2021","l10_LDMC"
"Treatment:Population6",0.0286344583834657,0.0286344583834657,1,63.8442427231187,16.6781179710429,0.000125767846761064,"2021","l10_LDMC"
"Treatment7",0.0672581414315407,0.0672581414315407,1,63.5279368787028,57.292582032541,1.93180671174166e-10,"2021","RWC"
"Population7",2.12669569836883e-10,2.12669569836883e-10,1,14.2494118179759,1.81158570789632e-07,0.999666300011018,"2021","RWC"
"Treatment:Population7",0.00492124095566371,0.00492124095566371,1,63.5279368753205,4.19206649415446,0.0447536578708632,"2021","RWC"
"Treatment8",1505.02817468065,1505.02817468065,1,61.0648852520308,125.52954095655,1.89909856730943e-16,"2021","LeafNum_harvest"
"Population8",183.535090173692,183.535090173692,1,15.35903044009,15.3080693149224,0.00133002880300585,"2021","LeafNum_harvest"
"Treatment:Population8",19.5019677927087,19.5019677927087,1,61.064885252139,1.62659617006014,0.207005231444915,"2021","LeafNum_harvest"
"Treatment9",1.25047319545819,1.25047319545819,1,59.0242671348793,70.4101898563692,1.19345233733414e-11,"2021","l10_DryRosG"
"Population9",0.0586095513367837,0.0586095513367837,1,14.3745558835988,3.30011842877407,0.0901816662951777,"2021","l10_DryRosG"
"Treatment:Population9",0.0239255070590978,0.0239255070590978,1,59.024267133651,1.34716961591785,0.250446479263916,"2021","l10_DryRosG"
