"","Belm_C","Belm_CF","Belm_F","Roda_C","Roda_CF","Roda_F"
"Population","BELM","BELM","BELM","RODA","RODA","RODA"
"Treatment","Current","Current/Future","Future","Current","Current/Future","Future"
"IJ_SeedCount_mean","493.8333","390.8000","443.6667","671.3750","459.1538","469.5714"
"IJ_SeedCount_ci_95","37.81822","30.79063","31.90142","26.14349","31.97782","31.03285"
"AG_biomass_mean","1.7830867","0.3434640","0.3957873","2.0140363","0.3913454","0.4193125"
"AG_biomass_ci_95","0.34196262","0.06044796","0.05346962","0.24522704","0.03794631","0.04303713"
"AvgSeedWt_mean","0.02393576","0.02487008","0.02395105","0.02800924","0.02646952","0.02626523"
"AvgSeedWt_ci_95","0.001355069","0.002346348","0.001557966","0.001835272","0.002303759","0.001742905"
"AvgSeedNum_mean","49.10000","40.71426","45.95704","67.13750","45.74406","47.42449"
"AvgSeedNum_ci_95","3.706207","2.983258","3.354876","2.614349","3.190447","2.641565"
"fitness_mean","36280.083"," 6583.487"," 8755.993","39992.162"," 4525.063"," 4348.693"
"fitness_ci_95","7672.0613","1381.1588","1145.5858","4545.3343"," 945.6699"," 640.7180"
