"Pot.ID","Population","Line","Replicate","Treatment","pot.labelled.","Labelled.Pot.Weight..g.","Pot...dry.Soil.Weight..g.","Soil.Added.Weight..g.","Soil.Mix.Batch.Number.x","Pot...wet.soil.weight..g.","Water.weight..g.","H20.g....soil..g.","First.Calc.of.FC.weight","oven.dried.soil..g.","oven.dried.soil...empty.pot..W0.","g.H20.at.FC..wf.W0.equivalent.","Notes.x","Soil.Mix.Batch.Number.y","Emergence","notes.x","Bolting","Flowering","Wilted_Died","Leaf_Collected","FreshWt_g","SatWt_g","DriedWt_g","Notes.y","LeafArea","LeafPerimeter","Scale..pixels.cm.","Notes.1","SLA","LDMC","RWC","LeafNum_.07222021","Notes.x","LeafNum_08262021","NumRemoved_08262021","RosetteLeafNum_10042021","StalkLeafNum_10042021","notes.y","RosetteLeafNum_bolt","notes.1","RosetteLeafNum_Flower","StalkLeafNum_Flower","notes.2","Harvest.Date","RosetteLeafNum","FreshRosetteG","DryRosetteG","FreshReproG","DryReproG","FreshRootG","DryRootG","Notes.y","Root_to_Shoot","Repro_to_Ros","IJ_FruitCount","FruitCounter","BranchStructure","LatBranches","PrimaryStalks","Height_cm","TotFruit","FruitCollected","FruitColLocation","DoneFlwr","NumFlwrLeft","Notes","FruitColWt_mg","SeedColWt_mg","ScanPosition","ScanPhotoName","IJ_SeedCount","SeedCounter","Notes2"
"B12-14-CF","BELM","12","14","Current/Future","yes","6.94","57.2896","50.3496","2","187.84","130.55","2.59","121.55","23.01","29.95",144.5,"","2","6/28/2021","","9/12/2021","9/22/2021","","9/22/2021",0.0299,0.0392,0.0048,"open 9/23; no scale in photo",1.644,7.149,"","",342.5,0.122448979591837,0.729651162790698,7,"",19,"n",21,30,"14 on lateral (small)",NA,"",NA,NA,"flowered 9/22","11/2/2021",22,"0.6037",0.09545,"0.8077",0.24876,"-",NA,"",NA,2.60618124672604,101,"TM","bent",4,1,25.3,"138",10,"7,10,11,13,18,25,28,34,38,52","y","0","6 'tiny tiny' primary stalks were not counted; silique moldy",21.12,14.2,"8","9",458,"SB","overestimate with all the dark/flat seeds: 490"
"B12-14-F","BELM","12","14","Future","yes","6.833","56.536","49.703","4","172.25","115.71","2.33","119.99","22.71","29.55",142.65,"","4","6/27/2021","","9/13/2021","10/4/2021","","10/4/2021",0.0268,0.0324,0.004,"",1.537,6.848,"","",384.25,0.123456790123457,0.802816901408451,10,"",21,"n",29,9,"",NA,"",NA,NA,"flowered 10/4","11/4/2021",31,"0.4806",0.08627,"1.172",0.26079,"-",NA,"",NA,3.0229511997218,235,"TM","bent",8,8,27,"249",10,"1,4,7,10,13,16,29,32,35,1 from side","y","0","apicle clipped. See notes. I no longer know what this means and did not find a note on the harvest date in my notebook. 7 primary stalks noted as tiny + 2 noted as no flower not counted",14.65,8.63,"9","10",363,"SB",""
"B12-15-C","BELM","12","15","Current","yes","6.822","56.9775","50.1555","3","180.47","123.49","2.46","121.08","22.92","29.74",143.95,"","3","6/29/2021","","9/16/2021","10/5/2021","","10/5/2021",0.1241,0.1407,0.0103,"open 10/6",6.68,18.686,"","",648.543689320388,0.0732054015636105,0.872699386503068,6,"",17,"n",24,26,"9 on lateral shoots",NA,"",NA,NA,"flowered 10/5","11/16/2021",20,"1.46",0.22084,"-",1.8799,"1.18",0.17706,"",0.0842845854318002,8.5124977359174,1007,"TM","bent",6,10,59.5,"1094",10,"8,14,17,19,20,21,23,25,26 + 2 on sides","n","49","5 additional primary stalks with no flowers",21.23,13.28,"3","3",524,"CH",""
"B12-15-CF","BELM","12","15","Current/Future","yes","6.393","56.3082","49.9152","mix","183.31","127.00","2.54","120.50","22.81","29.20",143.26,"","mix","6/29/2021","","9/13/2021","9/18/2021","","9/22/2021",0.018,0.024,0.0034,"open 9/23; no scale in photo",1.181,6.347,"","",347.352941176471,0.141666666666667,0.70873786407767,6,"",14,"n",22,20,"",NA,"",NA,NA,"flowered 9/18","11/3/2021",23,"0.4237",0.06428,"0.7114",0.24164,"-",NA,"",NA,3.75917859365277,118,"TM","bent",7,8,24,"128",10,"4,7,9,11,15,19,21,3 from side","n","-","5 tiny primar stalks were included",17.41,11.43,"6","10",412,"SB","with coutnign small darker ones: 470"
"B12-15-F","BELM","12","15","Future","yes","6.814","57.1506","50.3366","5","174.35","117.20","2.33","121.52","23.00","29.82",144.47,"","5","6/27/2021","","9/13/2021","9/29/2021","7/22/2021","9/29/2021",0.0275,0.0323,0.0033,"",1.551,7.315,"","",470,0.102167182662539,0.83448275862069,11,"",23,"n",31,41,"",NA,"",NA,NA,"flowered 9/29","11/3/2021",33,"0.5874",0.09786,"1.1293",0.30559,"-",NA,"",NA,3.12272634375639,166,"TM","leaning",8,9,21,"195",10,"9,11,13,15,17,19,21,23,25,28","y","0","8 primary stalks counted as tiny",20.84,14.06,"11","10",538,"SB",""
"B1-6-C","BELM","1","6","Current","yes","6.442","56.728","50.286","3","178.61","121.88","2.42","121.40","22.98","29.42",144.32,"","3","6/29/2021","","9/17/2021","10/11/2021","","10/11/2021",0.1817,0.2013,0.0128,"might not be bolted by 9/29; removed 1 leaf 9/29",NA,NA,"","MISSING",NA,0.0635866865375062,0.896021220159151,6,"",14,"n",22,9,"10 on lateral shoots",NA,"",21,32,"6 lateral shoots started (many leaves)","11/15/2021",22,"-",0.32695,"-",2.156,"-",NA,"",NA,6.59428047102003,888,"TM","bent",10,11,61,"944",10,"5,8,10,12,14,15,17,20,22,24","n","43","3 additional primary stalks with no flowers",16,9.5,"4","5",419,"CC",""
"B1-6-CF","BELM","1","6","Current/Future","yes","6.597","56.5288","49.9318","6","183.76","127.23","2.55","120.54","22.82","29.41",143.3,"","6","6/28/2021","","9/23/2021","10/5/2021","","10/5/2021",0.0668,0.0754,0.0079,"no scale in photo",3.739,10.411,"","",473.291139240506,0.104774535809019,0.872592592592593,6,"",16,"n",25,8,"",NA,"",NA,NA,"flowered 10/5","11/5/2021",24,"0.8391",0.16277,"1.6336",0.4213,"-",NA,"",NA,2.58831480002457,281,"TM","straight",8,11,20,"319",10,"11,13,14,15,17,19,22,24,26,28","y","0","some branches are bent; 3 primary stalks were noted as tiny, 1 with no flowers was not counted",15.96,10.57,"3","10",416,"SB","did not count small darker ones that I think were flat seeds…471 when counting those"
"B1-6-F","BELM","1","6","Future","yes","7.294","57.1998","49.9058","6","185.55","128.35","2.57","120.48","22.80","30.10",143.23,"","6","6/27/2021","","10/5/2021","10/17/2021","","10/17/2021",0.0588,0.0688,0.0062,"",2.947,11.064,"","",475.322580645161,0.0901162790697674,0.840255591054313,8,"",20,"n",29,0,"",NA,"",30,14,"8 leaves are crispy","11/9/2021",33,"0.4475",0.13508,"1.1905",0.32766,"-",0.0425,"root mass was collected with a different protocol so I might not want to use it. See notes in lab notebook.",0.091844232182219,2.42567367485934,196,"TM","bent",12,11,26,"233",10,"6,8,10,12,14,16,18,20,22,24","y","0","8 primary stalks counted as tiny",15.18,9.15,"6","9",479,"SB",""
"B12-1-C","BELM","12","1","Current","yes","6.81","56.3139","49.5039","4","166.38","110.07","2.22","119.51","22.62","29.43",142.08,"","4","7/5/2021"," got one in each environment to germinate at least","9/16/2021","10/6/2021","","10/6/2021",0.0571,0.0694,0.0051,"removed 1 leaf 9/30",3.353,12.099,"","",657.450980392157,0.0734870317002882,0.808709175738725,4,"",10,"n",19,12,"4 on lateral shoots",NA,"",18,0,"not sure which day four on lateral is for","11/17/2021",16,"-",0.0877,"-",0.8546,"-",NA,"",NA,9.74458380843786,455,"TM","bent",6,9,54,"640",10,"12,17,19,22,24,26,28,30,32,34","n","6","2 of the primary stalks were noted as tiny",14.49,8.06,"6","5",271,"CC","SB recounted 279 in 8/2024"
"B12-1-CF","BELM","12","1","Current/Future","yes","6.773","56.7934","50.0204","7","179.14","122.35","2.45","120.76","22.86","29.63",143.56,"","7","6/30/2021","","9/12/2021","9/22/2021","","9/22/2021",0.019,0.0262,0.0032,"open 9/23; no scale in photo",1.219,6.668,"","converted",380.9375,0.122137404580153,0.68695652173913,6,"",15,"n",21,25,"box around it; 2 on lateral shoots",NA,"",NA,NA,"flowered 9/22","11/3/2021",22,"0.3768",0.06706,"0.6139",0.23926,"-",NA,"",NA,3.5678496868476,96,"TM","bent",6,10,25.5,"122",10,"7,9,12,15,17,19,21,22,23,? In 10-15 range","y","0","7 primary stalks noted as tiny; has black seeds",19.11,12.35,"10","5",418,"CC",""
