"","contrast","ratio","SE","df","null","t.ratio","p.value","trait","estimate"
"56","Current B - Current R",NA,0.00513308339902632,18.8833586092254,NA,-4.45489529755021,0.00144012116592307,"Below Ground Biomass",-0.0228673490962554
"57","Current B - Future R",NA,0.00514957871652067,19.1096475458848,NA,-3.39689599884277,0.014597040696142,"Below Ground Biomass",-0.017492583337875
"58","Future B - Current R",NA,0.00512067945281159,18.9594496135504,NA,-5.93278401923821,5.73267950295664e-05,"Below Ground Biomass",-0.030379885225282
"59","Future B - Future R",NA,0.00513775347562547,19.1947531953955,NA,-4.86693641209741,0.00055601984083109,"Below Ground Biomass",-0.0250051194669016
"60","Current R - Future R",NA,0.00308597276748438,107.190021662005,NA,1.74167634109157,0.307458892356064,"Below Ground Biomass",0.00537476575838043
"61","Current B / Future B",0.926181667282135,0.0290600150635754,107.512629456491,1,-2.44404996242855,0.0749972051672804,"l10_Root to Shoot Ratio",NA
"62","Current B / Current R",1.17234981365453,0.075324987144092,16.560883275702,1,2.47481605338143,0.101311887914061,"l10_Root to Shoot Ratio",NA
"63","Current B / Future R",1.24138107673756,0.0799293835784274,16.6957505398035,1,3.35817730081947,0.0180401735588913,"l10_Root to Shoot Ratio",NA
"64","Future B / Current R",1.26578818720821,0.0811543632731706,16.5239468417993,1,3.67620342357685,0.00950039539365355,"l10_Root to Shoot Ratio",NA
"65","Future B / Future R",1.34032136522457,0.0861218543869719,16.6634369572585,1,4.5585727699211,0.00150607901755351,"l10_Root to Shoot Ratio",NA
"66","Current R / Future R",1.05888282002437,0.0330854120341979,107.10350037796,1,1.83111984958686,0.264548449502855,"l10_Root to Shoot Ratio",NA
"67","Current B - Future B",NA,0.0287643352173006,107.560556687294,NA,2.8282397072182,0.0281585041312858,"Total Biomass",0.0813524350133042
"68","Current B - Current R",NA,0.0562558908645086,16.9586669448497,NA,-4.60952726949982,0.00130262838966055,"Total Biomass",-0.259313063009958
"69","Current B - Future R",NA,0.0563864505281856,17.1091509661134,NA,-3.97316305593048,0.00487062642722091,"Total Biomass",-0.224032562093639
"70","Future B - Current R",NA,0.0561299942211384,16.9341892131218,NA,-6.06922382142289,6.88172818887889e-05,"Total Biomass",-0.340665498023262
"71","Future B - Future R",NA,0.0562651216535526,17.0899535905168,NA,-5.42760751478195,0.000237106018839195,"Total Biomass",-0.305384997106943
"72","Current R - Future R",NA,0.0286470445248499,107.117688132031,NA,1.23155814156381,0.608279119937721,"Total Biomass",0.0352805009163197
"73","Current B / Future B",0.920198251764112,0.0312309921952219,107.848901004843,1,-2.45042927785636,0.0738526729412974,"l10_Stomatal Density",NA
"74","Current B / Current R",0.885697160287004,0.0475226351282541,19.620771274688,1,-2.26220813282468,0.141518201744934,"l10_Stomatal Density",NA
"75","Current B / Future R",0.794762172814811,0.0427937073524258,19.8759844291878,1,-4.26620425891519,0.00199392544717736,"l10_Stomatal Density",NA
"76","Future B / Current R",0.962506893040748,0.051521006335466,19.7516899241883,1,-0.713908565661455,0.890387811368727,"l10_Stomatal Density",NA
"77","Future B / Future R",0.863685810412236,0.0464003104096918,20.0175875518421,1,-2.72778115292219,0.0577479194887441,"l10_Stomatal Density",NA
"78","Current R / Future R",0.897329480606298,0.0303466372427269,107.218837099809,1,-3.20330880295562,0.00954524795434442,"l10_Stomatal Density",NA
