Population,Line,Replicate,Treatment,Pot ID,Harvest Date,rosette leaf num,fresh rosette mass (g),dried rosette mass (g),Fresh reproductive mass (g),Dry reproductive mass (g),Fresh root mass (g),Dry root masss (g),
RODA,2,2,Current/Future,R2-2-CF,11/13/2021,32,0.5248,0.1423,1.0207,0.3007,-,,
RODA,5,1,Current/Future,R5-1-CF,11/22/2021,28,-,0.13408,-,0.26593,-,,
RODA,8,1,Current/Future,R8-1-CF,11/13/2021,29,0.4313,0.14074,0.717,0.2226,-,,
RODA,8,2,Current/Future,R8-2-CF,11/22/2021,28,-,0.10546,-,0.22395,-,,
RODA,9,1,Current/Future,R9-1-CF,11/24/2021,28,-,0.09235,-,0.2663,-,,
RODA,9,2,Current/Future,R9-2-CF,11/24/2021,30,-,0.13285,-,0.27848,-,,
RODA,11,1,Current/Future,R11-1-CF,11/13/2021,32,0.2922,0.09865,0.8506,0.2224,-,,
RODA,11,2,Current/Future,R11-2-CF,11/13/2021,30,0.5607,0.13357,0.9545,0.2527,-,,
RODA,15,1,Current/Future,R15-1-CF,12/16/2021,29,-,0.18599,-,0.23028,-,,
RODA,15,2,Current/Future,R15-2-CF,11/24/2021,31,-,0.13664,-,0.40008,-,,
RODA,21,1,Current/Future,R21-1-CF,11/22/2021,29,-,0.1199,-,0.20611,-,,
RODA,21,2,Current/Future,R21-2-CF,11/21/2021,28,-,0.11638,-,0.30215,-,,
RODA,26,1,Current/Future,R26-1-CF,11/24/2021,30,-,0.14447,-,0.29709,-,,
RODA,26,2,Current/Future,R26-2-CF,12/14/2021,29,-,0.09582,-,0.2931,-,,
RODA,29,1,Current/Future,R29-1-CF,12/14/2021,30,-,0.11145,-,0.4355,-,,
RODA,29,2,Current/Future,R29-2-CF,11/22/2021,26,-,0.12188,-,0.28004,-,,
RODA,33,1,Current/Future,R33-1-CF,11/9/2021,32,0.4848,0.13053,1.5241,0.3931,-,,
RODA,33,2,Current/Future,R33-2-CF,11/15/2021,27,-,0.09775,-,0.354,-,,
RODA,35,1,Current/Future,R35-1-CF,11/24/2021,32,-,0.13004,-,0.23403,-,,
RODA,35,2,Current/Future,R35-2-CF,11/22/2021,29,-,0.14183,-,0.26708,-,,
RODA,40,1,Current/Future,R40-1-CF,11/24/2021,27,-,0.09489,-,0.14465,-,,
RODA,40,2,Current/Future,R40-2-CF,11/24/2021,23,-,0.08141,-,0.2218,-,,
RODA,47,1,Current/Future,R47-1-CF,11/23/2021,32,-,0.17038,-,0.3123,0.55,0.12339,
RODA,47,2,Current/Future,R47-2-CF,11/16/2021,30,-,0.17241,-,0.29114,-,,
RODA,47,3,Current/Future,R47-3-CF,10/28/2021,28,1.02,0.09592,0.23,0.02663,0.17,0.05653,
RODA,47,4,Current/Future,R47-4-CF,10/28/2021,31,1.96,0.17492,0.43,0.05513,0.53,0.09882,
RODA,47,5,Current/Future,R47-5-CF,11/23/2021,27,-,0.13318,-,0.1607,0.29,0.07105,
BELM,1,1,Future,B1-1-F,11/3/2021,27,0.5896,0.08732,0.939,0.24528,-,,
BELM,1,2,Future,B1-2-F,11/6/2021,30,0.3754,0.09255,0.9693,0.27726,-,,
BELM,1,3,Future,B1-3-F,11/5/2021,30,0.4839,0.08956,0.6879,0.21423,-,,
BELM,1,4,Future,B1-4-F,11/4/2021,31,0.4806,0.08627,1.172,0.26079,-,,
BELM,1,5,Future,B1-5-F,11/3/2021,33,0.5874,0.09786,1.1293,0.30559,-,,
BELM,1,6,Future,B1-6-F,11/9/2021,33,0.4475,0.13508,1.1905,0.32766,-,0.0425,root mass was collected with a different protocol so I might not want to use it. See notes in lab notebook.
BELM,2,1,Future,B2-1-F,11/12/2021,15,0.2138,0.04141,1.2845,0.31232,-,,6 of the leaves were already very dried
BELM,2,2,Future,B2-2-F,11/7/2021,20,0.2557,0.04862,1.1015,0.23047,-,,
BELM,3,1,Future,B3-1-F,11/6/2021,30,0.4133,0.11301,0.9169,0.26541,-,,
BELM,3,2,Future,B3-2-F,11/4/2021,33,0.9439,0.14996,0.8884,0.24363,-,,
BELM,8,1,Future,B8-1-F,11/6/2021,32,0.8507,0.20809,1.6154,0.53131,-,,
BELM,8,2,Future,B8-2-F,11/9/2021,30,0.2739,0.10445,0.5313,0.17835,-,,
