Population,Line,Replicate,Treatment,Pot ID,pot labelled?,Labelled Pot Weight (g),Pot + dry Soil Weight (g),Soil Added Weight (g),Soil Mix Batch Number,Pot + wet soil weight (g),Water weight (g),H20(g) / soil (g),First Calc of FC weight,oven dried soil (g),oven dried soil + empty pot (W0),g H20 at FC (wf-W0 equivalent),Notes,,,,
RODA,29,1,Future,R29-1-F,yes,6.582,56.6102,50.0282,7,176.44,119.83,2.40,120.78,22.86,29.44,143.58,,,,,
RODA,29,2,Future,R29-2-F,yes,6.64,56.1467,49.5067,7,182.19,126.04,2.55,119.52,22.62,29.26,142.08,,,,,
RODA,33,1,Future,R33-1-F,yes,6.748,56.5441,49.7961,5,173.71,117.17,2.35,120.22,22.75,29.50,142.91,,,,,
RODA,33,2,Future,R33-2-F,yes,7.482,57.2604,49.7784,4,165.66,108.40,2.18,120.17,22.75,30.23,142.86,,,,,
RODA,35,1,Future,R35-1-F,yes,6.647,56.7971,50.1501,8,155.37,98.57,1.97,121.07,22.92,29.56,143.93,,,,,
RODA,35,2,Future,R35-2-F,yes,6.665,56.5998,49.9348,3,180.03,123.43,2.47,120.55,22.82,29.48,143.31,,,,,
RODA,40,1,Future,R40-1-F,yes,6.521,56.9884,50.4674,2,175.56,118.57,2.35,121.84,23.06,29.58,144.84,,,,,
RODA,40,2,Future,R40-2-F,yes,7.131,57.6192,50.4882,7,175.41,117.79,2.33,121.89,23.07,30.20,144.90,,,,,
RODA,47,1,Future,R47-1-F,yes,6.351,56.6193,50.2683,6,181.09,124.47,2.48,121.36,22.97,29.32,144.27,,,,,
RODA,47,2,Future,R47-2-F,yes,6.545,56.9372,50.3922,3,161.1,104.16,2.07,121.65,23.03,29.57,144.62,,,,,
RODA,47,3,Future,R47-3-F,yes,6.823,57.2878,50.4648,7,170.16,112.87,2.24,121.83,23.06,29.88,144.83,,,,,
RODA,47,4,Future,R47-4-F,yes,6.707,56.6819,49.9749,mix,169.48,112.80,2.26,120.65,22.84,29.54,143.43,,,,,
RODA,47,5,Future,R47-5-F,yes,7.506,57.1761,49.6701,4,173.6,116.42,2.34,119.91,22.70,30.20,142.55,,,,,
RODA,47,6,Future,R47-6-F,yes,6.749,56.2808,49.5318,1,179.37,123.09,2.49,119.58,22.63,29.38,142.16,,,,,
TEST,-,-,NONE,TEST,yes,6.583,61.4404,54.8574,1,181,119.56,2.18,132.43,,,157.44,,,,,
Test2,-,2,NONE,Test2,yes,6.672,56.6752,50.0032,mix (end),184,127.32,2.55,120.72,,,143.51,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,6.741024342,,,snapshot: min,150.48,93.4892,1.853223594,119.5096737,22.62105089,,142.0754556,,,,,
,,,,,,,,,max,197.61,140.4421,2.796375757,132.4338078,23.0710144,,157.4399208,,,,,
,,,,,,,,,mean,177.5927632,120.8054941,2.41,120.82,22.85,,143.63,,,,,
,,,,,,,,,st dev,6.9589514,6.950520698,0.141458022,1.191533412,0.135422821,,1.416518404,,,,,
,,,,,,,,,range,47.13,46.9529,0.943152163,12.92413402,0.449963514,,15.36446525,g,this is quite a change honestly… this is too much I think. What should I do?,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,one possible explanation is that I am measuring saturation rather than field capacity because they are different,,,,,,,,,,,,
,,,,,,,,,"also! I still only have the planting day soil weights, and not actually the dried weights. Ugh.",,,,,,,,,,,,
,,,,,,,,,"I think these are closer to saturated weights b/c field capacity should be a few days after watering, so the test pots might still be my best bet of FC?",,,,,,,,,,,,
,,,,,,,,,"okay. So definitely need to wait a few days! But my pots weren't top watered recently… and they wouldn't soak up past FC… right? Why is soil so complicated. I'm just going to end up with a best guess of some of this stuff, but the concern is that I won't properly stress plants if I use saturation instead of field capacity.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Decision! Not sure it is the right one.,,,,,,,,,,,,
,,,,,,,,,6/24/2021 evening,,,,,,,,,,,,
,,,,,,,,,"take the mean g water/g dry soil, and multiply by dry soil weight, and use that as field capacity for each pot",,,,,,,,,,,,
,,,,,,,,,this gives some consistency across all soil batches and incorporates the variation in weights from today,,,,,,,,,,,,
,,,,,,,,,"hoping weights tomorrow will be higher than this, and won't have to water and will have some more time to figure this all out.",,,,,,,,,,,,
,,,,,,,,,"if super low, I can cover the plants as well to up humidity until emergence.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Determination of target weights and how to calculate,,,,,,,,from drying down,K - oven soil-pot,0.18,FC water weight only,,,,from overnight soak,,,,
,,replicate,treatment,pod ID,labelled?,empty pot weight,pot + soil on pl day,soil added on pl day,oven dried soil weight,"pot+ wet soil (FC?, Wf)",water weight from oven soil weight,H20/oven dried soil,FC based on col M,W0,,,Wf,control target,future target,control from mean,future from mean
TEST,-,-,NONE,TEST,yes,6.583,61.4404,54.8574,25.727,179.17,146.86,5.71,146.86,32.31,,,181.98,99.6615,69.7275,103.1579644,71.66998021
Test2,-,2,NONE,Test2,yes,6.672,56.6752,50.0032,22.278,181.62,152.67,6.85,152.67,28.95,,,173.09,93.813,64.985,93.52879761,64.82710978
,,,,,,,,,wow! Like half the weight!! Geez...,,,these are quite different. I’m surprised.,,so this means my pots are currently overwatered.,,,,,,,
,,,,,,,,,,,,they did straddle the mean before though,,at least the expectations for the two pots are pretty similar.,,,,,,,
,,,,,,,,,,,,,,well. This leaves me confused and needing help honestly. ,,,,,,,
,,,,,,,,need to use these two columns to determine how much totally dry soil is in each pot,,,,mean of this,,"my question is really that I don't know what field capacity is. And because I'm curious, I want to let the soil soak up as much water from bottom watering as possible and then weigh the pots and see what is up.",,,,,,,
,,,,,,,,,,,,6.28,,,,,,,,,
