Population,Line,Replicate,Treatment,Pot ID,Leaf_Collected,FreshWt_g,SatWt_g,DriedWt_g,Notes,LeafArea,LeafPerimeter,Scale (pixels/cm),Notes
RODA,21,2,Current/Future,R21-2-CF,10/14/2021,0.0499,0.0586,0.0054,,2.179,9.133,,
RODA,15,2,Current/Future,R15-2-CF,10/15/2021,0.0658,0.0767,0.0088,,3.216,10.53,,
RODA,2,2,Current/Future,R2-2-CF,10/15/2021,0.0572,0.0671,0.007,,2.602,9.497,,
RODA,47,2,Current/Future,R47-2-CF,10/16/2021,0.0593,0.0688,0.0071,,2.789,9.8,,
BELM,1,6,Future,B1-6-F,10/17/2021,0.0588,0.0688,0.0062,,2.947,11.064,,
RODA,2,1,Current/Future,R2-1-CF,10/18/2021,0.0371,0.0454,0.0056,,1.727,7.441,,
RODA,26,1,Current/Future,R26-1-CF,10/18/2021,0.0526,0.0601,0.0054,,2.325,10.098,,
RODA,29,1,Current/Future,R29-1-CF,10/18/2021,0.0432,0.0507,0.0053,,1.802,7.962,,
RODA,35,2,Current/Future,R35-2-CF,10/18/2021,0.0475,0.0587,0.0074,,2.217,9.695,,
RODA,8,1,Current/Future,R8-1-CF,10/18/2021,0.0603,0.0718,0.0081,,2.597,9.226,,
BELM,4,2,Current,B4-2-C,10/19/2021,0.0199,0.0244,0.0012,,1.366,7.289,,
RODA,29,2,Current/Future,R29-2-CF,10/20/2021,0.0477,0.0507,0.0053,,2.09,9.625,,
RODA,40,2,Current/Future,R40-2-CF,10/20/2021,0.0442,0.05,0.0047,,2.046,8.389,,
RODA,26,2,Future,R26-2-F,10/20/2021,0.0485,0.0565,0.0062,,2.168,9.25,,
RODA,35,1,Current/Future,R35-1-CF,10/21/2021,0.0349,0.0452,0.0074,,1.599,7.687,,
RODA,9,1,Current/Future,R9-1-CF,10/21/2021,0.0407,0.0471,0.0039,,1.918,8.023,,
RODA,2,1,Current,R2-1-C,10/22/2021,0.1643,0.1837,0.0143,10/10/ see buds,5.751,17.698,,
RODA,11,1,Current/Future,R11-1-CF,10/22/2021,0.0501,0.0561,0.0061,,2.491,9.591,,
RODA,21,1,Current/Future,R21-1-CF,10/22/2021,0.0383,0.0479,0.0049,,1.791,7.898,,
RODA,47,1,Current/Future,R47-1-CF,10/22/2021,0.0489,0.0577,0.0067,,2.195,8.38,,
RODA,5,1,Current/Future,R5-1-CF,10/22/2021,0.0421,0.0498,0.0042,removed two leaves at flower on accident,1.944,8.622,,
RODA,8,2,Current/Future,R8-2-CF,10/22/2021,0.0497,0.0601,0.0067,,2.22,8.799,,
RODA,21,2,Future,R21-2-F,10/22/2021,0.0695,0.0836,0.0079,,2.861,11.856,,
RODA,35,1,Future,R35-1-F,10/22/2021,0.0529,0.0643,0.0067,,2.248,9.325,,
RODA,47,1,Future,R47-1-F,10/22/2021,0.0414,0.0497,0.0054,,1.806,8.952,,
RODA,21,1,Current,R21-1-C,10/23/2021,0.1011,0.1236,0.0096,removed leaf 9/30,4.28,14.894,,
RODA,40,1,Current/Future,R40-1-CF,10/23/2021,0.0446,0.0535,0.0057,,1.924,7.947,,
RODA,47,3,Current/Future,R47-3-CF,10/23/2021,0.0482,0.0595,0.006,,2.29,9.094,,
RODA,47,4,Current/Future,R47-4-CF,10/23/2021,0.0558,0.0669,0.0068,,2.459,9.035,,
RODA,9,2,Current/Future,R9-2-CF,10/23/2021,0.0392,0.0481,0.0055,,1.754,8.118,,
RODA,2,2,Future,R2-2-F,10/23/2021,0.0418,0.0507,0.0052,,1.792,9.112,,
RODA,29,1,Future,R29-1-F,10/23/2021,0.058,0.0692,0.0064,,2.456,10.948,,
RODA,29,2,Future,R29-2-F,10/23/2021,0.0437,0.0515,0.005,,2.014,9.464,,
RODA,33,1,Future,R33-1-F,10/23/2021,0.0428,0.0507,0.0048,,2.095,8.779,,
RODA,47,2,Future,R47-2-F,10/23/2021,0.0541,0.0649,0.0071,,2.313,9.665,,
RODA,29,1,Current,R29-1-C,10/24/2021,0.1145,0.1273,0.0097,,4.18,15.683,,
RODA,29,2,Current,R29-2-C,10/24/2021,0.1134,0.1291,0.0099,,4.02,14.801,,
RODA,47,5,Current/Future,R47-5-CF,10/24/2021,0.0413,0.0522,0.0064,,1.814,7.241,,
RODA,21,1,Future,R21-1-F,10/24/2021,0.0524,0.0619,0.0078,,2.15,8.687,,
