Treatment,Pot_ID,Photo #,Stomata_Count ,Notes,,,Stomata_Averages:,,
Future,R21-3-F,1,NA,"Dead, no data",,,,,
Future,R21-3-F,2,NA,,,,,,
Future,R21-4-F,1,50,,,,,,
Future,R21-4-F,2,48,,,,,,
Future,R2-1-F,1,28,,,,,,
Future,R2-1-F,2,40,,,,,,
Future,R2-2-F,1,43,,,,,,
Future,R2-2-F,2,49,,,,,,
Future,R2-3-F,1,32,,,,,,
Future,R2-3-F,2,33,,,,,,
Future,R2-4-F,1,42,,,,,,
Future,R2-4-F,2,37,,,,,,
Future,R29-1-F,1,42,,,,,,
Future,R29-1-F,2,48,,,,,,
Future,R29-2-F,1,38,,,,,,
Future,R29-2-F,2,30,,,,,,
Future,R29-3-F,1,48,,,,,,
Future,R29-3-F,2,43,,,,,,
Future,R29-4-F,1,43,,,,,,
Future,R29-4-F,2,37,,,,,,
Future,R35-1-F,1,39,,,,,,
Future,R35-1-F,2,48,,,,,,
Future,R35-2-F,1,46,,,,,,
Future,R35-2-F,2,38,,,,,,
Future,R35-3-F,1,36,,,,,,
Future,R35-3-F,2,39,,,,,,
Future,R35-4-F,1,40,,,,,,
Future,R35-4-F,2,38,,,,,,
Future,R40-1-F,1,51,,,,,,
Future,R40-1-F,2,47,,,,,,
Future,R40-2-F,1,67,,,,,,
Future,R40-2-F,2,56,,,,,,
Future,R40-3-F,1,55,,,,,,
Future,R40-3-F,2,37,,,,,,
Future,R40-4-F,1,39,,,,,,
Future,R40-4-F,2,48,,,,,,
Future,R47-1-F,1,40,,,,,,
Future,R47-1-F,2,33,,,,,,
Future,R47-2-F,1,41,,,,,,
Future,R47-2-F,2,47,,,,,,
Future,R47-3-F,1,38,,,,,,
Future,R47-3-F,2,38,,,,,,
Future,R47-4-F,1,37,,,,,,
Future,R47-4-F,2,42,,,,,,
Future,R8-1-F,1,38,,,,,,
Future,R8-1-F,2,38,,,,,,
Future,R8-2-F,1,37,,,,,,
Future,R8-2-F,2,56,,,,,,
Future,R8-3-F,1,43,,,,,,
Future,R8-3-F,2,39,,,,,,
Future,R8-4-F,1,43,,,,,,
Future,R8-4-F,2,57,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
