Treatment,PotID,Population,Line,Replicate,Emergence Date,"Leaf Number PreVern, post transplant",transplanted,transplant_notes,Number Emerged,Notes
Future,B4-2-F,B,4,2,4/22/2022,4,no,no,2,left 2 to transplant later -> down to 1 on 5/30
Future,B4-3-F,B,4,3,,,yes,from B3-3-C,0,changed geno
Future,B4-4-F,B,4,4,,,yes,from B3-4-F,0,changed geno
Future,B8-1-F,B,8,1,4/14/2022,9,no,no,4,
Future,B8-2-F,B,8,2,4/15/2022,10,no,no,3,
Future,B8-3-F,B,8,3,4/16/2022,10,no,no,5,
Future,B8-4-F,B,8,4,4/16/2022,9,no,to B4-4-C,4,
Future,B8-5-F,B,8,5,,9,yes,yes; from B8-2-C,,
Future,B8-6-F,B,8,6,,9,yes,yes; from B8-3-C,,
Future,B12-1-F,B,12,1,4/17/2022,8,no,no,2,(second looks dried)
Future,B12-2-F,B,12,2,4/18/2022,9,yes,yes; from B12-4-F,1,looks dead 4/27
Future,B12-3-F,B,12,3,4/20/2022,6,no,no,1,
Future,B12-4-F,B,12,4,4/16/2022,9,no,to B12-2-F,2,
Future,B13-1-F,B,13,1,4/19/2022,9,yes,yes; from B13-3-C,1,looks dead 5/3
Future,B13-2-F,B,13,2,4/15/2022,10,no,no,2,
Future,B13-3-F,B,13,3,4/15/2022,7,no,no,4,Emerged date was for the rogue capsella. The rogue capsella was transplanted to a new pot. 
Future,B13-4-F,B,13,4,4/16/2022,12,no,to B12-1-C,5,
Future,B15-1-F,B,15,1,4/16/2022,12,no,no,3,
Future,B15-2-F,B,15,2,4/14/2022,10,no,no,5,
Future,B15-3-F,B,15,3,4/16/2022,12,no,no,3,
Future,B15-4-F,B,15,4,4/15/2022,11,no,to B2-4-C,4,
Future,B15-5-F,B,15,5,,10,yes,yes; from B15-1-C,,
Future,R2-1-F,R,2,1,4/15/2022,10,no,no,4,
Future,R2-2-F,R,2,2,4/14/2022,10,no,no,5,
Future,R2-3-F,R,2,3,4/15/2022,10,no,no,4,
Future,R2-4-F,R,2,4,4/15/2022,8,no,no,4,
Future,R8-1-F,R,8,1,4/15/2022,8,no,no,2,
